country_territory,R01,R02,R03
Austria,1.6,2.88,2.24
Belgium,1.58,2.87,2.225
Bulgaria,1.63,2.66,2.145
Switzerland,2,2.42,2.21
Cyprus,1.96,2.2,2.08
Czechia,1.64,2.69,2.165
Germany,1.49,2.35,1.92
Denmark,1.69,1.74,1.715
Spain,1.57,3.3,2.435
Estonia,1.89,1.86,1.875
Finland,1.38,2.48,1.93
France,1.48,2.64,2.06
United Kingdom,2.05,2.99,2.52
Croatia,1.75,2.54,2.145
Hungary,2.34,2.8,2.57
Ireland,1.62,2.09,1.855
Iceland,2.12,2.2,2.16
Israel,1.35,3.19,2.27
Italy,1.71,2.77,2.24
Liechtenstein,1.91,2.2,2.055
Lithuania,1.7,2.19,1.945
Luxembourg,1.76,3.23,2.495
Latvia,1.81,2.26,2.035
Netherlands,1.66,2.05,1.855
Norway,1.7,2.05,1.875
Poland,1.73,2.36,2.045
Portugal,1.46,2.5,1.98
Slovakia,1.57,2.77,2.17
Slovenia,1.72,1.78,1.75
Sweden,1.81,1.82,1.815
Ukraine,1.24,4.6,2.92
