iso3c,T_pop_2020
ABW,106441
AFG,38054945
AGO,32827403
AIA,18090
ALA,30506
ALB,2942033
AND,85635
ARE,9813168
ARG,45510413
ARM,2938682
ASM,49437
ATG,105106
AUS,25398179
AUT,8782212
AZE,10099745
BDI,11939223
BEL,11619957
BEN,12122982
BES,26854
BFA,20903348
BGD,169775310
BGR,6940522
BHR,1697767
BHS,406835
BIH,3498213
BLM,7122
BLR,9415432
BLZ,397999
BMU,71750
BOL,11543980
BRA,213863051
BRB,287563
BRN,444514
BTN,835252
BWA,2484607
CAF,4920883
CAN,37603216
CHE,8670541
CHL,18896464
CHN,1424548268
CIV,26171752
CMR,25958179
COD,89505184
COG,5686918
COK,8574
COL,50220406
COM,869595
CPV,567346
CRI,5044180
CUB,11495479
CUW,163500
CYM,61944
CYP,1207350
CZE,10633428
DEU,82540447
DJI,999900
DMA,67932
DNK,5796797
DOM,11189162
DZA,43333263
ECU,17335642
EGY,102941485
ERI,5432210
ESH,597330
ESP,46459218
EST,1300557
ETH,115983281
FIN,5580128
FJI,924918
FLK,77667
FRA,65721164
FRO,51628
FSM,107780
GAB,2293492
GBR,67334204
GEO,3898524
GGY,67052
GHA,29042130
GIB,29581
GIN,13750824
GLP,448433
GMB,2293492
GNB,2000694
GNQ,1406276
GRC,11102567
GRD,109313
GRL,55454
GTM,17910807
GUF,303980
GUM,168729
GUY,790778
HKG,7547651
HND,9719731
HRV,4115942
HTI,10738247
HUN,9621251
IDN,272222982
IMN,90499
IND,691600020
IRL,4887990
IRN,83121554
IRQ,41502883
ISL,343235
ISR,8713564
ITA,49572358
JAM,2913167
JEY,101073
JOR,10208664
JPN,126495644
KAZ,18777137
KEN,26745846
KGZ,18905166
KHM,17625417
KIR,122437
KNA,50848
KOR,51506981
KOS,1932774
KWT,4302866
LAO,7164828
LBN,6019794
LBR,5103852
LBY,6662176
LCA,181197
LIE,39137
LKA,21084040
LSO,2322213
LTU,2852471
LUX,603951
LVA,1892993
MAC,651876
MAF,32556
MAR,37070719
MCO,30940
MDA,4017677
MDG,27690797
MDV,458903
MEX,133870037
MHL,77917
MKD,2088036
MLI,20284183
MLT,434370
MMR,54808276
MNE,629393
MNG,3209396
MNP,51433
MOZ,28603070
MRT,4783765
MSR,5373
MTQ,385459
MUS,1274108
MWI,20283701
MYS,32869317
MYT,273097
NAM,1348269
NCL,286905
NER,24074691
NFK,1757
NGA,204909220
NIC,6416569
NIU,1462
NLD,17181252
NOR,5449696
NPL,30260246
NRU,9785
NZL,4834421
OMN,5149698
PAK,208362327
PAN,4289326
PCN,50
PER,33312181
PHL,109702483
PLW,21685
PNG,8755676
POL,37942222
PRI,3650605
PRK,25840867
PRT,9972688
PRY,7066329
PSE,5322632
PYF,290741
QAT,2791800
REU,896525
ROU,19388360
RUS,134651648
RWA,14172046
SAU,34709643
SDN,43541202
SEN,17200158
SGP,5935044
SJM,2170
SLB,647294
SLE,8046942
SLV,6479060
SMR,34232
SOM,16105176
SPM,5347
SRB,8703948
SSD,13610002
STP,218019
SUR,577759
SVK,5448874
SVN,2082053
SWE,10121690
SWZ,1439289
SXM,43847
SYC,96117
SYR,18924438
TCA,55926
TCD,16285093
TGO,8384290
THA,34705432
TJK,9475256
TKL,1366
TKM,6031184
TLS,1381396
TON,111030
TTO,1377726
TUN,11903145
TUR,83835758
TUV,11342
TWN,23817898
TZA,59071798
UGA,47187702
UKR,43579233
URY,3494386
USA,331431527
UZB,33235820
VCT,110764
VEN,33172401
VGB,37381
VIR,104850
VNM,98360146
VUT,293934
WLF,15854
WSM,200110
YEM,30245300
ZAF,19573745
ZMB,6226427
ZWE,17645185
